国名,国名（英語）,地域,人口,平均寿命,1人あたりGDP
日本,Japan,アジア,123975371,84.0,32487.1
アメリカ合衆国,United States,北アメリカ,340110988,78.9,84534.0
中国,China,アジア,1408975000,78.0,13303.1
インド,India,アジア,1450935791,72.2,2694.7
ドイツ,Germany,ヨーロッパ,83516593,80.8,56103.7
フランス,France,ヨーロッパ,68551653,83.0,46103.1
イギリス,United Kingdom,ヨーロッパ,69226000,81.4,53246.4
ブラジル,Brazil,南アメリカ,211998573,76.0,10310.5
メキシコ,Mexico,北アメリカ,130861007,75.3,14185.8
南アフリカ,South Africa,アフリカ,64007187,66.3,6267.2
ナイジェリア,Nigeria,アフリカ,232679478,54.6,1084.2
エジプト,Egypt,アフリカ,116538258,71.8,3338.5
オーストラリア,Australia,オセアニア,27196812,83.1,64604.0
韓国,Korea,アジア,51751065,83.6,36238.6
インドネシア,Indonesia,アジア,283487931,71.3,4925.4
タイ,Thailand,アジア,71668011,76.6,7346.6
ベトナム,Vietnam,アジア,100987686,74.7,4717.3
カナダ,Canada,北アメリカ,41288599,82.1,54340.3
イタリア,Italy,ヨーロッパ,58952704,84.0,40385.3
スペイン,Spain,ヨーロッパ,48848840,83.9,35326.8
ロシア,Russian Federation,ヨーロッパ,143533851,73.4,14889.0
トルコ,Türkiye,ヨーロッパ,85518661,77.4,15892.7
アルゼンチン,Argentina,南アメリカ,45696159,77.5,13969.8
サウジアラビア,Saudi Arabia,アジア,35300280,79.0,35121.7
パキスタン,Pakistan,アジア,251269164,67.8,1478.8
バングラデシュ,Bangladesh,アジア,173562364,74.9,2593.4
オランダ,Netherlands,ヨーロッパ,17993485,82.0,67520.4
スイス,Switzerland,ヨーロッパ,9005582,84.4,103998.2
スウェーデン,Sweden,ヨーロッパ,10569709,84.1,57117.5
ノルウェー,Norway,ヨーロッパ,5572279,83.2,86785.4
ポーランド,Poland,ヨーロッパ,36559233,78.4,25103.6
チェコ,Czechia,ヨーロッパ,10905028,80.0,31823.3
オーストリア,Austria,ヨーロッパ,9177982,82.0,58268.9
ベルギー,Belgium,ヨーロッパ,11858610,82.3,56614.6
ギリシャ,Greece,ヨーロッパ,10405134,81.8,24626.1
ウクライナ,Ukraine,ヨーロッパ,37860221,74.7,5389.5
イスラエル,Israel,アジア,9974400,83.2,54176.7
イラン,Iran,アジア,91567738,77.9,5190.2
イラク,Iraq,アジア,46042015,72.4,6073.6
マレーシア,Malaysia,アジア,35557673,76.8,11874.4
フィリピン,Philippines,アジア,115843670,69.9,3984.8
ケニア,Kenya,アフリカ,56432944,63.8,2132.4
エチオピア,Ethiopia,アフリカ,132059767,67.6,1133.9
ガーナ,Ghana,アフリカ,34427414,65.7,2390.8
タンザニア,Tanzania,アフリカ,68560157,67.2,1186.7
コンゴ民主共和国,Congo,アフリカ,109276265,62.1,649.4
コロンビア,Colombia,南アメリカ,52886363,77.9,7919.2
ペルー,Peru,南アメリカ,34217848,77.9,8452.4
チリ,Chile,南アメリカ,19764771,81.4,16709.9
ニュージーランド,New Zealand,オセアニア,5287500,82.0,49205.2
シンガポール,Singapore,アジア,6036860,83.3,90674.1
デンマーク,Denmark,ヨーロッパ,5976992,82.3,71026.5
フィンランド,Finland,ヨーロッパ,5619911,82.3,53149.8
アイルランド,Ireland,ヨーロッパ,5395790,83.0,112895.0
ポルトガル,Portugal,ヨーロッパ,10694681,82.4,29292.2
モロッコ,Morocco,アフリカ,38081173,75.5,4153.2
チュニジア,Tunisia,アフリカ,12277109,76.7,4181.1
アルジェリア,Algeria,アフリカ,46814308,76.5,5753.0
アラブ首長国連邦,United Arab Emirates,アジア,10986400,83.1,50273.5
カタール,Qatar,アジア,2857822,82.5,76688.7
クウェート,Kuwait,アジア,4897263,84.6,32717.7
オマーン,Oman,アジア,5281538,80.2,20285.2
ヨルダン,Jordan,アジア,11552876,78.0,4618.1
スリランカ,Sri Lanka,アジア,21916000,77.7,4515.6
ネパール,Nepal,アジア,29651054,70.6,1447.3
ミャンマー,Myanmar,アジア,54500091,67.1,1359.1
カンボジア,Cambodia,アジア,17638801,70.8,2627.9
ラオス,Lao PDR,アジア,7769819,69.2,2124.0
モンゴル,Mongolia,アジア,3524788,72.4,6750.6
カザフスタン,Kazakhstan,アジア,20592571,74.5,14154.6
ウズベキスタン,Uzbekistan,アジア,36361859,72.5,3161.7
ジョージア,Georgia,アジア,3699557,74.7,9241.5
アゼルバイジャン,Azerbaijan,アジア,10202830,74.6,7283.8
アルメニア,Armenia,アジア,3033500,78.3,8556.2
コスタリカ,Costa Rica,北アメリカ,5129910,81.0,18587.2
パナマ,Panama,北アメリカ,4515577,79.8,19161.2
ドミニカ共和国,Dominican Republic,北アメリカ,11427557,73.9,10875.7
エクアドル,Ecuador,南アメリカ,18135478,77.6,6874.7
ウルグアイ,Uruguay,南アメリカ,3386588,78.3,23906.5
パラグアイ,Paraguay,南アメリカ,6929153,74.0,6416.1
ボリビア,Bolivia,南アメリカ,12413315,68.7,4421.2
ジャマイカ,Jamaica,北アメリカ,2839175,71.6,7753.8
スーダン,Sudan,アフリカ,50448963,66.5,984.6
セネガル,Senegal,アフリカ,18501984,68.9,1773.2
コートジボワール,Côte d’Ivoire,アフリカ,31934230,62.1,2727.9
カメルーン,Cameroon,アフリカ,29123744,64.0,1830.0
アンゴラ,Angola,アフリカ,37885849,64.8,2665.9
モザンビーク,Mozambique,アフリカ,34631766,63.8,656.8
ザンビア,Zambia,アフリカ,21314956,66.5,1187.1
ジンバブエ,Zimbabwe,アフリカ,16634373,63.1,2497.2
